2.027251954	0.02112651	0
2.064672485	0.023253335	3.806186699
2.102115552	0.023601461	6.751333269
2.139558913	0.023834792	7.647878867
2.177002384	0.024006464	8.962201301
2.214445862	0.024172224	10.00520478
2.251889375	0.024293219	10.75690133
2.289331806	0.024798372	11.53949913
2.326775349	0.024701444	12.31155344
2.364218702	0.024934517	13.01918074
2.40166126	0.025421484	13.7007074
2.439104475	0.025687802	14.3532893
2.476543148	0.02674948	14.97280352
2.513984271	0.027502976	15.55374925
2.551425445	0.028235562	16.1255505
2.588857723	0.029844974	16.69745498
2.626281236	0.031985903	17.22505375
2.663681697	0.035130294	17.77919632
2.701076369	0.03846021	18.34896708
2.738378038	0.044146685	18.8188738
2.775481416	0.052938726	19.24346809
2.812080111	0.066751222	19.66076435
2.847635273	0.087260815	20.19051773
2.881590612	0.114877978	20.92870949
2.915252993	0.143573026	20.83530808
2.946858156	0.17868274	19.79449122
2.9572496	0.241111746	19.56436806
2.961587017	0.306187386	19.06110112
2.965427431	0.371367983	18.42961864
2.968976363	0.436599244	17.95948613
2.972150349	0.501889634	17.48805661
2.975600574	0.567137115	16.9279583
2.979068126	0.632381828	16.35454297
2.982404473	0.697647477	15.7842909
2.985469352	0.762953848	15.21657811
2.987606012	0.828372886	14.73496505
2.988316048	0.893886525	14.43745382
2.987575251	0.959399595	14.41313451
2.987034516	1.024918995	14.5309167
2.98749012	1.090440442	14.47117775
2.988553822	1.155940227	14.13713879
2.989506275	1.221445317	13.74612065
2.990281245	1.286957567	13.38346302
2.990942665	1.352473637	12.95843762
2.991999017	1.417973783	12.37300706
2.992967153	1.483478168	11.61479885
2.99493153	1.548913388	10.7286076
2.99721275	1.614317891	9.857748029
2.999542226	1.679717257	9.098987945
3.002248877	1.745072037	8.744684719
