#Coor	Free
2.005	0
2.011	0.122837
2.017	0.434265
2.023	0.765168
2.029	1.121991
2.035	1.47659
2.041	1.828309
2.047	2.177655
2.053	2.490421
2.059	2.800684
2.065	3.113053
2.071	3.380884
2.077	3.636084
2.083	3.892334
2.089	4.137105
2.095	4.355515
2.101	4.568902
2.107	4.783555
2.113	4.962136
2.119	5.174076
2.125	5.346571
2.131	5.523683
2.137	5.701821
2.143	5.856334
2.149	6.027326
2.155	6.1847
2.161	6.332782
2.167	6.488853
2.173	6.618606
2.179	6.76011
2.185	6.90567
2.191	7.033183
2.197	7.169573
2.203	7.298436
2.209	7.428611
2.215	7.547304
2.221	7.673889
2.227	7.787069
2.233	7.912066
2.239	8.035772
2.245	8.147838
2.251	8.265066
2.257	8.379708
2.263	8.489055
2.269	8.604139
2.275	8.719718
2.281	8.819079
2.287	8.925189
2.293	9.02833
2.299	9.128004
2.305	9.229115
2.311	9.327258
2.317	9.435418
2.323	9.523682
2.329	9.619072
2.335	9.714324
2.341	9.804641
2.347	9.898072
2.353	9.985259
2.359	10.071756
2.365	10.157661
2.371	10.244967
2.377	10.333428
2.383	10.413654
2.389	10.497414
2.395	10.574919
2.401	10.658817
2.407	10.739753
2.413	10.822825
2.419	10.90526
2.425	10.98463
2.431	11.063682
2.437	11.140043
2.443	11.216736
2.449	11.297561
2.455	11.37346
2.461	11.450263
2.467	11.527118
2.473	11.607157
2.479	11.685669
2.485	11.757088
2.491	11.834466
2.497	11.905111
2.503	11.978211
2.509	12.052835
2.515	12.126451
2.521	12.200009
2.527	12.269836
2.533	12.343304
2.539	12.414821
2.545	12.48025
2.551	12.554031
2.557	12.627771
2.563	12.694768
2.569	12.769387
2.575	12.839309
2.581	12.911205
2.587	12.982258
2.593	13.046259
2.599	13.116546
2.605	13.179535
2.611	13.253031
2.617	13.320076
2.623	13.390544
2.629	13.456494
2.635	13.524419
2.641	13.597066
2.647	13.67129
2.653	13.733429
2.659	13.791336
2.665	13.863747
2.671	13.936168
2.677	13.997968
2.683	14.069307
2.689	14.132847
2.695	14.204305
2.701	14.276657
2.707	14.337513
2.713	14.396736
2.719	14.468297
2.725	14.543811
2.731	14.613788
2.737	14.679465
2.743	14.753899
2.749	14.814138
2.755	14.887354
2.761	14.972207
2.767	15.031986
2.773	15.102002
2.779	15.175897
2.785	15.244064
2.791	15.302565
2.797	15.354036
2.803	15.41369
2.809	15.493896
2.815	15.538009
2.821	15.564688
2.827	15.645788
2.833	15.709141
2.839	15.741728
2.845	15.78651
2.851	15.803385
2.857	15.809948
2.863	15.866088
2.869	15.977929
2.875	15.906742
2.881	15.935851
2.887	15.88153
2.893	15.864208
2.899	16.006646
2.905	15.926362
2.911	15.947945
2.917	15.854301
2.923	15.898395
2.929	15.812766
2.935	15.612662
2.941	15.581678
2.947	15.164265
2.953	15.002379
2.959	14.67237
2.965	14.055266
2.971	12.752294
2.977	10.769571
2.983	9.292038
2.989	9.057738
2.995	10.447117
