#Coor	Free
2.8155	0.658894
2.8465	0.573612
2.8775	0.522547
2.9085	0.475927
2.9395	0.450288
2.9705	0.448405
3.0015	0.450237
3.0325	0.450726
3.0635	0.466528
3.0945	0.483523
3.1255	0.500691
3.1565	0.521425
3.1875	0.559737
3.2185	0.587687
3.2495	0.622308
3.2805	0.655571
3.3115	0.690195
3.3425	0.710515
3.3735	0.715428
3.4045	0.700075
3.4355	0.679662
3.4665	0.660477
3.4975	0.663142
3.5285	0.65828
3.5595	0.63566
3.5905	0.568776
3.6215	0.487508
3.6525	0.410809
3.6835	0.368258
3.7145	0.328949
3.7455	0.275553
3.7765	0.236735
3.8075	0.19912
3.8385	0.1706
3.8695	0.140739
3.9005	0.099257
3.9315	0.054564
3.9625	0.026089
3.9935	0
4.0245	0.012736
4.0555	0.021637
4.0865	0.036614
4.1175	0.048318
4.1485	0.055248
4.1795	0.052318
4.2105	0.068707
4.2415	0.092847
4.2725	0.114824
4.3035	0.147106
4.3345	0.178018
4.3655	0.208441
4.3965	0.243834
4.4275	0.265048
4.4585	0.300915
4.4895	0.355613
4.5205	0.397116
4.5515	0.441476
4.5825	0.48032
4.6135	0.52557
4.6445	0.566772
4.6755	0.624195
4.7065	0.672408
4.7375	0.716527
4.7685	0.755781
4.7995	0.811012
4.8305	0.853731
4.8615	0.904668
4.8925	0.949875
4.9235	1.005615
4.9545	1.053568
4.9855	1.104878
5.0165	1.154524
5.0475	1.196227
5.0785	1.216488
5.1095	1.21981
5.1405	1.194889
5.1715	1.165604
5.2025	1.143492
5.2335	1.123226
5.2645	1.093286
5.2955	1.077314
5.3265	1.053539
5.3575	0.990349
5.3885	0.938869
5.4195	0.890093
5.4505	0.82942
5.4815	0.778456
5.5125	0.720962
5.5435	0.67796
5.5745	0.633834
5.6055	0.589079
5.6365	0.552281
5.6675	0.517786
5.6985	0.49958
5.7295	0.497151
5.7605	0.480923
5.7915	0.465668
5.8225	0.42894
5.8535	0.407161
5.8845	0.38893
