LAMMPS data file via write_data, version 29 Aug 2024, timestep = 20000000, units = real

192 atoms
3 atom types

0 12.72 xlo xhi
0 12.72 ylo yhi
0 12.72 zlo zhi

Masses

1 12.011 # C
2 15.9994 # O
3 2.014101777 # H

Atoms  # atomic

1 1 2.77973 4.58651 5.0705
2 2 0.20863 8.93016 5.0865
3 2 0.78585 2.69301 1.71521
4 2 7.52497 10.2273 7.74539
5 2 5.14896 7.33017 4.41682
6 2 12.1556 6.90161 3.11326
7 2 3.88025 4.33178 5.34956
8 2 0.09071 11.7998 4.2091
9 2 9.95413 11.9614 8.01232
10 2 11.6139 3.49832 12.1764
11 2 2.53631 9.78702 6.36682
12 2 8.52565 10.0506 1.82546
13 2 6.83099 10.4533 5.08105
14 2 12.4281 1.65436 9.95872
15 2 8.80207 5.08022 2.17896
16 2 3.29832 0.7284 6.03936
17 2 6.13799 0.783125 6.92465
18 2 0.652731 0.0515975 1.78205
19 2 11.4257 0.411714 6.14937
20 2 3.85448 2.62755 8.27728
21 2 11.5184 10.1451 9.17522
22 2 8.44446 4.1245 6.1456
23 2 3.54768 1.34215 0.143985
24 2 7.76357 2.63235 3.8542
25 2 5.74746 11.9734 8.90933
26 2 2.39135 2.66806 4.10782
27 2 1.7018 5.05276 4.83414
28 2 11.2261 4.08055 3.2057
29 2 4.16357 10.8585 4.20398
30 2 0.944196 12.7097 7.61771
31 2 9.80504 1.61227 9.26873
32 2 12.3793 10.7114 0.222415
33 2 3.00547 5.2725 8.13199
34 2 11.1382 7.8996 7.55314
35 2 0.593894 8.42214 11.8851
36 2 2.90541 8.2856 9.80276
37 2 5.93018 12.176 11.9486
38 2 8.63186 3.8614 10.045
39 2 3.17526 10.9295 9.035
40 2 11.1972 3.23879 5.9281
41 2 1.37357 6.5787 1.03564
42 2 3.43196 8.77928 2.40726
43 2 5.09569 5.42877 12.6913
44 2 7.53516 4.13214 12.5282
45 2 9.05391 6.47938 9.69995
46 2 6.26223 1.9889 1.10416
47 2 6.5156 3.55876 8.18744
48 2 1.71165 12.6302 11.2968
49 2 8.22954 0.238657 4.7374
50 2 3.97925 0.466874 2.74018
51 2 5.73067 9.66107 0.96518
52 2 8.31911 6.99514 6.22488
53 2 4.22048 7.39785 7.24221
54 2 10.8462 6.57248 12.1813
55 2 7.53436 7.87922 3.71487
56 2 10.0945 12.2529 2.43423
57 2 8.60453 0.358858 11.9816
58 2 9.88513 10.3042 11.9652
59 2 6.96869 7.80007 8.79428
60 2 4.98865 5.24059 2.72692
61 2 5.72164 7.65164 11.0836
62 2 11.9307 4.88921 8.18274
63 2 1.80479 3.38652 9.97844
64 2 10.0713 7.71042 1.7831
65 2 2.5482 4.29738 0.136449
66 2 10.0248 2.17482 1.21836
67 3 5.92955 10.4331 4.67699
68 3 2.87939 1.2378 5.32164
69 3 8.60981 0.296281 11.0154
70 3 6.53278 9.55725 1.61869
71 3 11.3719 7.31673 2.69602
72 3 0.61342 12.3319 2.64969
73 3 10.647 11.4111 8.37799
74 3 5.80733 12.443 11.0197
75 3 3.37736 8.01595 8.96869
76 3 6.20139 8.29958 11.6837
77 3 1.81185 2.7425 3.29449
78 3 10.4185 7.18964 1.01197
79 3 8.20368 5.23575 2.91913
80 3 9.56252 0.733574 8.87402
81 3 11.8858 3.57779 2.68301
82 3 7.05935 3.69109 8.93252
83 3 11.5132 9.29712 8.6746
84 3 9.39025 7.07098 2.0799
85 3 2.11512 7.12716 1.39609
86 3 6.49783 7.93097 3.81353
87 3 3.6738 10.168 3.6412
88 3 0.422866 2.31847 9.96529
89 3 5.28615 12.6918 12.3864
90 3 2.46011 3.10997 9.3801
91 3 4.9003 7.41514 5.37147
92 3 11.7876 4.3953 8.9667
93 3 6.41618 1.71252 6.91311
94 3 4.83815 2.77182 8.20503
95 3 5.4299 0.710529 6.26242
96 3 0.137195 10.0242 12.4832
97 3 5.51871 2.10909 0.473905
98 3 9.38379 3.77185 6.33144
99 3 7.82749 0.199489 5.62104
100 3 2.12868 11.9758 10.7276
101 3 10.7738 1.50024 9.46287
102 3 9.16936 9.31171 1.96609
103 3 6.63686 4.51085 12.6376
104 3 11.1403 2.88395 0.0851743
105 3 12.2981 8.42852 5.69357
106 3 10.2355 7.92979 7.07998
107 3 7.74177 7.45538 9.26686
108 3 2.79852 1.00274 12.2298
109 3 11.4725 2.31837 6.13987
110 3 5.91543 12.6033 8.17429
111 3 7.65066 0.413869 12.2361
112 3 12.7138 12.2319 1.27529
113 3 11.7441 5.98141 3.15296
114 3 1.19752 8.37458 11.1225
115 3 2.4903 0.38412 6.52661
116 3 11.2209 5.67202 12.365
117 3 11.6167 7.25329 11.9014
118 3 9.50853 9.93774 0.080953
119 3 3.8264 12.3531 3.21459
120 3 10.666 0.11844 6.72561
121 3 11.2962 7.00814 7.83858
122 3 1.06384 11.7095 7.7521
123 3 0.810856 0.322423 8.51847
124 3 9.02214 5.45322 9.72171
125 3 8.11868 4.38457 0.547076
126 3 10.2372 1.45276 1.87427
127 3 9.36389 11.0827 11.8576
128 3 2.65201 3.55265 0.788069
129 3 0.723903 3.42063 1.04534
130 3 3.53479 10.8991 4.93756
131 3 3.69214 6.56201 7.43259
132 3 8.01004 7.22617 7.11125
133 3 3.98276 8.35116 3.04106
134 3 0.243374 4.93659 8.26611
135 3 5.16982 6.17644 12.0792
136 3 4.00908 9.04365 1.67351
137 3 5.25477 6.34359 4.17763
138 3 7.93468 7.5247 5.47517
139 3 7.12037 10.0878 6.87692
140 3 9.27396 6.67636 10.6554
141 3 11.6053 3.7665 6.65324
142 3 4.29369 4.90374 12.3895
143 3 2.15835 3.17634 10.8648
144 3 12.2578 12.3096 4.85022
145 3 2.81384 5.27665 9.048
146 3 8.4285 5.13298 6.05317
147 3 0.0245898 10.8447 4.42233
148 3 3.10882 10.6442 8.07918
149 3 1.62874 9.43836 5.96421
150 3 2.21692 5.13103 0.640381
151 3 9.50166 12.4494 3.1382
152 3 7.09623 8.70866 8.55663
153 3 9.39104 1.83208 0.552164
154 3 7.00294 3.75242 7.36091
155 3 5.34699 4.41012 3.09799
156 3 0.807341 1.75224 1.39161
157 3 3.35989 4.37927 7.87583
158 3 9.62942 4.61461 2.49548
159 3 3.61452 8.29569 10.4833
160 3 5.24277 5.23912 1.78487
161 3 10.7818 11.6537 2.86106
162 3 3.60114 1.86105 7.7249
163 3 9.2035 11.2962 7.92855
164 3 6.8667 2.72688 0.869026
165 3 0.738416 6.64162 1.84282
166 3 5.05858 7.34469 7.76664
167 3 5.88023 10.5918 0.707255
168 3 0.919519 7.70938 12.5977
169 3 11.3898 3.28253 11.2576
170 3 8.27468 2.82128 3.05146
171 3 7.23802 11.2495 4.68935
172 3 0.00545969 0.860062 10.422
173 3 1.24619 12.037 11.9908
174 3 11.1997 3.64145 4.12674
175 3 11.4872 10.7404 12.4881
176 3 8.2045 3.08158 4.63105
177 3 7.00548 10.9329 8.17182
178 3 9.02617 10.8697 1.99239
179 3 7.92744 8.80412 3.77316
180 3 3.45783 0.886876 0.988689
181 3 11.2965 9.98063 10.0935
182 3 4.78884 11.7496 8.9092
183 3 3.08659 8.99867 6.28557
184 3 12.2718 0.265169 6.71095
185 3 8.02148 1.17767 4.39022
186 3 6.14926 7.81191 10.2141
187 3 0.290558 8.17833 4.4705
188 3 8.97429 2.95616 9.96841
189 3 4.91427 0.584083 2.88238
190 3 8.26744 3.86857 10.971
191 3 2.98755 10.0848 9.49633
192 3 3.16581 2.1563 3.78698
