#Coor	Free
2.005	0.036262
2.011	0
2.017	0.272406
2.023	0.660797
2.029	1.083212
2.035	1.514335
2.041	1.939864
2.047	2.351368
2.053	2.734881
2.059	3.105073
2.065	3.455013
2.071	3.781002
2.077	4.100624
2.083	4.392029
2.089	4.66629
2.095	4.941657
2.101	5.189074
2.107	5.44069
2.113	5.669094
2.119	5.899998
2.125	6.118177
2.131	6.317303
2.137	6.526959
2.143	6.727707
2.149	6.910654
2.155	7.087936
2.161	7.278063
2.167	7.445735
2.173	7.628662
2.179	7.808434
2.185	7.977331
2.191	8.137973
2.197	8.288739
2.203	8.443565
2.209	8.59409
2.215	8.745306
2.221	8.893111
2.227	9.040026
2.233	9.181527
2.239	9.320203
2.245	9.456477
2.251	9.586572
2.257	9.716296
2.263	9.839524
2.269	9.980527
2.275	10.11032
2.281	10.239992
2.287	10.367453
2.293	10.492752
2.299	10.616875
2.305	10.732832
2.311	10.856036
2.317	10.980272
2.323	11.099573
2.329	11.215182
2.335	11.332767
2.341	11.449803
2.347	11.563084
2.353	11.674889
2.359	11.790175
2.365	11.887301
2.371	12.002464
2.377	12.115961
2.383	12.22985
2.389	12.331714
2.395	12.448495
2.401	12.558281
2.407	12.665766
2.413	12.773875
2.419	12.880019
2.425	12.984128
2.431	13.093894
2.437	13.197293
2.443	13.302935
2.449	13.403923
2.455	13.504188
2.461	13.608145
2.467	13.703056
2.473	13.809031
2.479	13.906667
2.485	14.002374
2.491	14.099207
2.497	14.19857
2.503	14.293166
2.509	14.393007
2.515	14.488127
2.521	14.584431
2.527	14.679005
2.533	14.772596
2.539	14.868219
2.545	14.959827
2.551	15.05287
2.557	15.156373
2.563	15.249032
2.569	15.343638
2.575	15.439637
2.581	15.531221
2.587	15.624864
2.593	15.721736
2.599	15.812347
2.605	15.901697
2.611	15.994616
2.617	16.087687
2.623	16.174791
2.629	16.265792
2.635	16.358393
2.641	16.444031
2.647	16.540261
2.653	16.620933
2.659	16.710505
2.665	16.803521
2.671	16.884866
2.677	16.975229
2.683	17.066517
2.689	17.154868
2.695	17.24393
2.701	17.337661
2.707	17.42747
2.713	17.521043
2.719	17.616326
2.725	17.699128
2.731	17.803237
2.737	17.898314
2.743	17.991753
2.749	18.082434
2.755	18.180393
2.761	18.276906
2.767	18.373885
2.773	18.477847
2.779	18.584865
2.785	18.677618
2.791	18.795947
2.797	18.880081
2.803	18.966693
2.809	19.068458
2.815	19.140194
2.821	19.249468
2.827	19.331607
2.833	19.408653
2.839	19.501289
2.845	19.547293
2.851	19.658786
2.857	19.71225
2.863	19.800035
2.869	19.841576
2.875	19.956372
2.881	20.006939
2.887	20.038945
2.893	20.036239
2.899	20.005948
2.905	20.032459
2.911	20.104676
2.917	20.093031
2.923	20.075678
2.929	20.08735
2.935	20.186489
2.941	20.147645
2.947	20.125662
2.953	19.962202
2.959	19.948612
2.965	19.486564
2.971	18.160767
2.977	16.477829
2.983	15.155722
2.989	14.791312
2.995	15.445513
