,1.900000,1.906030,1.912060,1.918090,1.924121,1.930151,1.936181,1.942211,1.948241,1.954271,1.960302,1.966332,1.972362,1.978392,1.984422,1.990452,1.996482,2.002513,2.008543,2.014573,2.020603,2.026633,2.032663,2.038693,2.044724,2.050754,2.056784,2.062814,2.068844,2.074874,2.080905,2.086935,2.092965,2.098995,2.105025,2.111055,2.117085,2.123116,2.129146,2.135176,2.141206,2.147236,2.153266,2.159296,2.165327,2.171357,2.177387,2.183417,2.189447,2.195477,2.201508,2.207538,2.213568,2.219598,2.225628,2.231658,2.237688,2.243719,2.249749,2.255779,2.261809,2.267839,2.273869,2.279899,2.285930,2.291960,2.297990,2.304020,2.310050,2.316080,2.322111,2.328141,2.334171,2.340201,2.346231,2.352261,2.358291,2.364322,2.370352,2.376382,2.382412,2.388442,2.394472,2.400503,2.406533,2.412563,2.418593,2.424623,2.430653,2.436683,2.442714,2.448744,2.454774,2.460804,2.466834,2.472864,2.478894,2.484925,2.490955,2.496985,2.503015,2.509045,2.515075,2.521106,2.527136,2.533166,2.539196,2.545226,2.551256,2.557286,2.563317,2.569347,2.575377,2.581407,2.587437,2.593467,2.599497,2.605528,2.611558,2.617588,2.623618,2.629648,2.635678,2.641709,2.647739,2.653769,2.659799,2.665829,2.671859,2.677889,2.683920,2.689950,2.695980,2.702010,2.708040,2.714070,2.720101,2.726131,2.732161,2.738191,2.744221,2.750251,2.756281,2.762312,2.768342,2.774372,2.780402,2.786432,2.792462,2.798492,2.804523,2.810553,2.816583,2.822613,2.828643,2.834673,2.840704,2.846734,2.852764,2.858794,2.864824,2.870854,2.876884,2.882915,2.888945,2.894975,2.901005,2.907035,2.913065,2.919095,2.925126,2.931156,2.937186,2.943216,2.949246,2.955276,2.961307,2.967337,2.973367,2.979397,2.985427,2.991457,2.997487,3.003518,3.009548,3.015578,3.021608,3.027638,3.033668,3.039698,3.045729,3.051759,3.057789,3.063819,3.069849,3.075879,3.081910,3.087940,3.093970,3.100000
-0.100000,47.029386,46.356655,45.547215,44.590514,43.479706,42.213310,40.796763,39.242381,37.571236,35.811908,33.999915,32.176900,30.388366,28.680976,27.100111,25.686581,24.473989,23.486809,22.738655,22.231079,21.953888,21.886450,21.999475,22.257506,22.621550,23.052462,23.513377,23.972140,24.403343,24.788666,25.117444,25.386438,25.598237,25.759844,25.881558,25.974961,26.051695,26.122302,26.195174,26.276245,26.368906,26.474157,26.590695,26.715841,26.845898,26.975209,27.094689,27.204576,27.309414,27.409730,27.505419,27.596483,27.683357,27.766859,27.848132,27.928301,28.008163,28.088447,28.169361,28.250895,28.332782,28.414482,28.495883,28.576669,28.656649,28.735675,28.813872,28.891324,28.968010,29.044022,29.119609,29.194810,29.269478,29.343557,29.417169,29.490356,29.562970,29.635146,29.706770,29.777619,29.847809,29.917863,29.988201,30.058984,30.130510,30.202967,30.276342,30.350795,30.426186,30.502143,30.578291,30.654099,30.729383,30.804017,30.877820,30.950665,31.022706,31.094280,31.165597,31.236945,31.308852,31.381992,31.456805,31.533672,31.612878,31.694171,31.777455,31.862566,31.948891,32.036054,32.123865,32.212064,32.300571,32.389539,32.478957,32.568939,32.659918,32.752390,32.846867,32.943807,33.043374,33.145824,33.251486,33.360338,33.472497,33.588030,33.707055,33.829535,33.955324,34.084665,34.218017,34.355749,34.498201,34.645724,34.798843,34.957910,35.123796,35.297359,35.478849,35.668646,35.867121,36.074361,36.290573,36.515959,36.750534,36.994205,37.246777,37.507860,37.777042,38.053576,38.336664,38.625493,38.919005,39.215759,39.513979,39.811275,40.105301,40.394039,40.675364,40.947391,41.208173,41.455775,41.688329,41.903942,42.100716,42.277064,42.431590,42.563236,42.671421,42.755768,42.816660,42.855233,42.873110,42.872696,42.856827,42.828853,42.792522,42.751876,42.710685,42.672608,42.640423,42.616102,42.600787,42.594381,42.596107,42.604039,42.615757,42.628582,42.639403,42.645868,42.646347,42.639587,42.625132,42.604540,42.581622,42.560323,42.545007,42.540862,42.553459,42.588453
-0.089447,46.774164,46.027984,45.129710,44.069074,42.836320,41.432417,39.860354,38.137236,36.282775,34.331366,32.322635,30.300727,28.315906,26.422809,24.668097,23.100221,21.753636,20.658063,19.826597,19.262235,18.952878,18.876282,18.999921,19.284012,19.686026,20.161839,20.671380,21.178218,21.655007,22.080638,22.444109,22.741077,22.974881,23.153181,23.287300,23.390238,23.474774,23.552563,23.632523,23.721517,23.823166,23.938570,24.066707,24.204110,24.347264,24.490932,24.625939,24.749002,24.865358,24.976289,25.081981,25.182556,25.278396,25.370320,25.459791,25.548000,25.635990,25.724376,25.813495,25.903122,25.993240,26.083257,26.173056,26.262107,26.350113,26.437166,26.523337,26.608578,26.692907,26.776403,26.859509,26.942059,27.023938,27.105178,27.186061,27.266506,27.346329,27.425551,27.504070,27.581808,27.658828,27.735659,27.812736,27.890262,27.968621,28.047916,28.128143,28.209580,28.292082,28.375049,28.458090,28.540728,28.622696,28.703922,28.784007,28.863081,28.941317,29.018906,29.096047,29.173117,29.250690,29.329673,29.410434,29.493422,29.578866,29.666598,29.756476,29.848201,29.941129,30.034831,30.129133,30.223746,30.318552,30.413726,30.509227,30.605259,30.702339,30.800880,30.901466,31.004534,31.110361,31.219238,31.331414,31.447193,31.566511,31.689180,31.815386,31.945251,32.078736,32.215836,32.357037,32.502710,32.653219,32.809109,32.970827,33.139056,33.314433,33.497773,33.689764,33.890768,34.100868,34.320645,34.550134,34.789770,35.039496,35.299493,35.569604,35.849214,36.138037,36.435848,36.741367,37.054090,37.372829,37.695898,38.021514,38.347026,38.669955,38.988106,39.299665,39.602437,39.893854,40.172178,40.434608,40.679458,40.903914,41.106130,41.284687,41.437547,41.564253,41.664122,41.737416,41.785078,41.808941,41.811646,41.796538,41.767554,41.728931,41.685483,41.641671,41.601854,41.569403,41.546655,41.534853,41.534093,41.543417,41.560633,41.582856,41.606712,41.628717,41.645554,41.654910,41.655825,41.647772,41.631977,41.611705,41.592429,41.579364,41.578265,41.595581,41.637839
-0.078894,46.522135,45.702955,44.717314,43.552822,42.200700,40.660829,38.936678,37.043251,35.011200,32.870063,30.662977,28.446113,26.268856,24.188296,22.264512,20.540828,19.063872,17.858787,16.945776,16.323842,15.982741,15.896506,16.030032,16.339440,16.778127,17.298781,17.855176,18.410255,18.931570,19.396978,19.794493,20.118903,20.374179,20.568784,20.715179,20.827273,20.919468,21.004147,21.091474,21.188190,21.298712,21.424336,21.563504,21.712966,21.868997,22.026045,22.176118,22.312320,22.440113,22.561620,22.677332,22.787136,22.891771,22.992010,23.089557,23.185720,23.281620,23.377906,23.474745,23.572457,23.670464,23.768595,23.866250,23.963317,24.059131,24.153877,24.247769,24.340482,24.432221,24.522979,24.613303,24.703088,24.792207,24.880397,24.968290,25.055811,25.142512,25.228375,25.313571,25.397693,25.481215,25.564664,25.648213,25.732288,25.817097,25.903056,25.989887,26.077851,26.166942,26.256611,26.346121,26.435266,26.523567,26.611011,26.697131,26.782117,26.865905,26.948876,27.031263,27.113552,27.196453,27.280665,27.366963,27.455535,27.546693,27.640164,27.736019,27.833550,27.932358,28.032021,28.132013,28.232336,28.332668,28.433172,28.533891,28.635134,28.737259,28.840818,28.946497,29.054830,29.165874,29.280054,29.397669,29.519081,29.644104,29.772683,29.904733,30.040637,30.180173,30.323492,30.470789,30.622642,30.779410,30.941626,31.110101,31.285238,31.467877,31.658804,31.858756,32.068176,32.287504,32.516951,32.757012,33.007852,33.269741,33.542976,33.827092,34.122129,34.427432,34.743099,35.068360,35.401921,35.742663,36.089793,36.440142,36.791052,37.140730,37.486945,37.826941,38.159342,38.480700,38.789009,39.081662,39.355505,39.608110,39.836860,40.040012,40.215512,40.361755,40.478142,40.564544,40.622212,40.653176,40.659752,40.646134,40.616761,40.576607,40.531034,40.485618,40.445180,40.413745,40.394102,40.387694,40.394814,40.414334,40.443444,40.478829,40.516591,40.552362,40.582461,40.603812,40.614770,40.615394,40.606464,40.591285,40.575478,40.565709,40.568825,40.591909,40.642333
-0.068342,46.279012,45.390155,44.319874,43.056751,41.588978,39.913651,38.043817,35.987730,33.779740,31.457692,29.060717,26.654110,24.287099,22.031782,19.938069,18.068823,16.460692,15.152765,14.157669,13.481277,13.108086,13.012006,13.154406,13.487721,13.962151,14.524726,15.126583,15.727463,16.291161,16.795747,17.225228,17.576925,17.852891,18.062840,18.220777,18.341548,18.440927,18.532167,18.626438,18.730882,18.850237,18.985322,19.135302,19.296243,19.464235,19.634254,19.797855,19.947310,20.086322,20.217929,20.343097,20.462022,20.574777,20.683272,20.788497,20.892325,20.995528,21.099296,21.203890,21.308972,21.414650,21.520092,21.625355,21.729782,21.832838,21.935075,22.036097,22.135956,22.234514,22.332329,22.429395,22.526114,22.621935,22.716803,22.811221,22.905090,22.998226,23.090552,23.181727,23.272020,23.361583,23.451088,23.540824,23.630805,23.721743,23.813610,23.906743,24.000870,24.096090,24.191935,24.287448,24.382536,24.476665,24.569784,24.661543,24.751641,24.840416,24.927939,25.014880,25.101840,25.189294,25.278241,25.369181,25.462645,25.558674,25.657248,25.758091,25.860702,25.964649,26.069204,26.174152,26.279111,26.384183,26.488993,26.593727,26.698984,26.805011,26.912367,27.021890,27.134122,27.249314,27.367572,27.489248,27.614774,27.744023,27.876921,28.013448,28.153588,28.297510,28.445053,28.596549,28.752456,28.913265,29.079743,29.252564,29.432303,29.619551,29.815232,30.020217,30.235135,30.460323,30.696295,30.943200,31.201782,31.472153,31.754572,32.048810,32.355139,32.672996,33.002605,33.342804,33.693133,34.052631,34.419157,34.790536,35.164232,35.537419,35.908009,36.274782,36.633788,36.983828,37.320787,37.641505,37.943770,38.224022,38.479935,38.707916,38.905472,39.072144,39.205554,39.306472,39.374761,39.413345,39.424805,39.413436,39.384532,39.343745,39.297228,39.251447,39.211766,39.182789,39.168073,39.169534,39.186971,39.219189,39.263537,39.315287,39.369634,39.422738,39.468782,39.505390,39.529215,39.540849,39.541507,39.533626,39.523264,39.518155,39.526548,39.556367,39.615933
-0.057789,46.050605,45.095440,43.947098,42.587686,41.010010,39.212222,37.203849,34.997718,32.625736,30.124909,27.555463,24.963171,22.422116,19.998338,17.749794,15.735094,14.009058,12.598418,11.528965,10.797946,10.394472,10.288404,10.438569,10.793739,11.300167,11.901989,12.547776,13.190005,13.795165,14.334532,14.795148,15.171905,15.467024,15.692035,15.860437,15.989508,16.095338,16.192637,16.293163,16.405048,16.532405,16.677030,16.836686,17.008680,17.187843,17.369181,17.545488,17.707202,17.856811,17.998388,18.132437,18.259364,18.380169,18.496006,18.608613,18.719212,18.829667,18.940339,19.051903,19.163928,19.276316,19.388733,19.500632,19.611861,19.721915,19.830633,19.938134,20.044544,20.149443,20.253498,20.357124,20.459828,20.561690,20.662837,20.763195,20.862899,20.961791,21.059883,21.156676,21.252565,21.347548,21.442487,21.537542,21.632995,21.729444,21.826900,21.925431,22.025203,22.125826,22.226925,22.328036,22.428354,22.527875,22.625845,22.722076,22.816756,22.909704,23.001198,23.091989,23.182591,23.273960,23.366697,23.461526,23.558819,23.658913,23.761492,23.866387,23.973144,24.081010,24.189523,24.298191,24.406904,24.515329,24.623331,24.731094,24.839061,24.947777,25.057652,25.169569,25.284242,25.401912,25.522763,25.647046,25.775098,25.906991,26.042494,26.181496,26.324228,26.470598,26.620299,26.773756,26.931632,27.094370,27.262588,27.437011,27.618412,27.807351,28.004740,28.211644,28.428491,28.655910,28.894463,29.144409,29.406477,29.680993,29.968037,30.267846,30.580584,30.906267,31.244649,31.595338,31.957444,32.329992,32.711819,33.099136,33.490381,33.882580,34.274874,34.663420,35.046915,35.421574,35.784042,36.132156,36.460533,36.767589,37.048613,37.300279,37.521079,37.707043,37.858467,37.973291,38.053394,38.100182,38.116947,38.108843,38.081479,38.041222,37.995127,37.950444,37.913167,37.889044,37.881660,37.893039,37.924026,37.971760,38.033914,38.105335,38.180900,38.253576,38.319991,38.374073,38.414861,38.439985,38.452365,38.454175,38.451558,38.453092,38.467837,38.505443,38.575062
-0.047236,45.842507,44.827471,43.605487,42.162505,40.484059,38.575062,36.433963,34.091420,31.565804,28.913326,26.173499,23.423318,20.720153,18.134852,15.742220,13.602834,11.762429,10.261013,9.117801,8.338877,7.905655,7.789419,7.945283,8.320675,8.855575,9.493669,10.177263,10.858874,11.498998,12.072290,12.560176,12.959211,13.272652,13.510475,13.689003,13.825128,13.936864,14.039804,14.146079,14.264182,14.399399,14.552098,14.721291,14.902607,15.092036,15.284286,15.471691,15.644400,15.803655,15.954038,16.096025,16.230814,16.358595,16.481037,16.600245,16.717269,16.833638,16.950710,17.068369,17.186558,17.304887,17.423464,17.541752,17.658878,17.774837,17.889309,18.002820,18.114662,18.225394,18.335004,18.443939,18.552014,18.659339,18.765602,18.871304,18.976314,19.080290,19.183075,19.284793,19.385385,19.485344,19.584913,19.684632,19.784850,19.886170,19.988333,20.091753,20.196007,20.301307,20.407192,20.512777,20.617619,20.721358,20.823318,20.923360,21.021468,21.117700,21.212418,21.306125,21.399740,21.494006,21.589587,21.687353,21.787681,21.890522,21.996077,22.103856,22.213418,22.324343,22.435641,22.546807,22.657775,22.768386,22.878312,22.987800,23.097310,23.207286,23.318376,23.431368,23.546942,23.665496,23.787270,23.912453,24.041391,24.174045,24.310279,24.449881,24.593034,24.739557,24.889451,25.042788,25.200359,25.362566,25.529909,25.703304,25.883292,26.070846,26.266577,26.471918,26.686993,26.912458,27.149384,27.398299,27.659331,27.932924,28.219865,28.520062,28.834234,29.162021,29.503734,29.858901,30.227008,30.607295,30.997874,31.395754,31.798563,32.205155,32.612692,33.019436,33.421511,33.816921,34.202324,34.572524,34.925544,35.255526,35.559984,35.835102,36.076625,36.281854,36.450312,36.579407,36.671088,36.726372,36.749636,36.745417,36.720897,36.682512,36.638380,36.596523,36.564064,36.546669,36.549505,36.573799,36.621221,36.687987,36.772254,36.866981,36.965418,37.063152,37.152341,37.227741,37.287544,37.330262,37.356116,37.370515,37.378019,37.387600,37.410415,37.456998,37.537459
-0.036683,45.659847,44.591448,43.306611,41.786274,40.023214,38.009743,35.762017,33.289859,30.634785,27.842322,24.961577,22.058185,19.214993,16.491746,13.973676,11.713091,9.772929,8.190937,6.984803,6.158732,5.699627,5.572887,5.732962,6.124399,6.684266,7.353058,8.069252,8.784546,9.458022,10.058563,10.572018,10.990816,11.319107,11.569144,11.755925,11.898769,12.015599,12.123180,12.234194,12.358232,12.499691,12.660344,12.837293,13.027639,13.225995,13.426899,13.623770,13.806647,13.974102,14.131886,14.281258,14.422283,14.556513,14.684830,14.809724,14.932131,15.054127,15.176313,15.299164,15.422460,15.546327,15.670196,15.793510,15.915948,16.036754,16.156091,16.274387,16.391059,16.506554,16.620668,16.734069,16.846807,16.958384,17.069277,17.179366,17.288510,17.396680,17.503715,17.609380,17.713900,17.817608,17.921071,18.024677,18.129049,18.234161,18.340425,18.447565,18.555823,18.664810,18.774225,18.883459,18.991896,19.098751,19.203571,19.306384,19.407010,19.505643,19.602417,19.698246,19.793973,19.890291,19.987821,20.087374,20.189538,20.294161,20.401376,20.510842,20.622143,20.734677,20.847470,20.959948,21.072000,21.183364,21.293758,21.403543,21.513209,21.623062,21.733994,21.846637,21.961731,22.079493,22.200509,22.324903,22.452851,22.584551,22.719463,22.857708,22.999032,23.143924,23.291675,23.442858,23.597465,23.756505,23.920444,24.090188,24.265912,24.449012,24.639806,24.839407,25.049267,25.268960,25.500270,25.742796,25.998044,26.266349,26.547390,26.843164,27.152629,27.477037,27.815574,28.169068,28.537011,28.918071,29.310886,29.712371,30.120946,30.534856,30.952045,31.370283,31.786361,32.196924,32.599362,32.988227,33.360657,33.711251,34.035463,34.330450,34.590523,34.814367,34.998019,35.141615,35.244266,35.308319,35.338260,35.339539,35.318656,35.283975,35.243627,35.206849,35.180911,35.173579,35.188533,35.229976,35.295913,35.386604,35.495502,35.616248,35.743147,35.868765,35.983664,36.085452,36.166914,36.229629,36.272169,36.300641,36.321056,36.341210,36.373127,36.429602,36.521673
-0.026131,45.506987,44.394246,43.054965,41.471823,39.634726,37.539312,35.192103,32.618599,29.854756,26.936804,23.933443,20.913379,17.940953,15.106899,12.472958,10.116254,8.089833,6.436310,5.174390,4.308495,3.825017,3.688064,3.850703,4.253721,4.834943,5.527246,6.272520,7.015702,7.714346,8.340105,8.872892,9.308531,9.650595,9.910205,10.104311,10.252713,10.373935,10.485162,10.600371,10.728814,10.876138,11.042764,11.227144,11.424373,11.630151,11.838986,12.043587,12.234017,12.408730,12.572818,12.728035,12.874656,13.014016,13.147665,13.276984,13.404157,13.530414,13.656876,13.783955,13.911489,14.039537,14.167688,14.295280,14.421583,14.546279,14.669651,14.791511,14.912082,15.031004,15.148843,15.265898,15.381876,15.497129,15.611319,15.724671,15.837274,15.948760,16.058979,16.167569,16.275105,16.381975,16.488428,16.594991,16.702369,16.810437,16.919535,17.029734,17.140715,17.252421,17.364658,17.476360,17.587036,17.695952,17.802736,17.907237,18.009421,18.109297,18.207367,18.304389,18.401166,18.498385,18.596746,18.697127,18.799954,18.905211,19.013011,19.122966,19.234646,19.347509,19.460564,19.573029,19.684706,19.795456,19.904963,20.013649,20.121916,20.230483,20.339811,20.450751,20.563633,20.679382,20.797868,20.919855,21.045270,21.173937,21.306020,21.440651,21.578690,21.719570,21.863235,22.009458,22.159436,22.312730,22.470583,22.633938,22.802540,22.978186,23.160410,23.351915,23.551876,23.762691,23.983152,24.215608,24.460177,24.717933,24.988605,25.273017,25.573188,25.886937,26.216481,26.561640,26.922123,27.297757,27.685064,28.083339,28.490542,28.904532,29.324481,29.747136,30.170161,30.590088,31.003041,31.405152,31.791061,32.156936,32.498027,32.808423,33.085425,33.323622,33.522111,33.677394,33.790736,33.864136,33.901236,33.908190,33.892724,33.863347,33.828748,33.798942,33.783226,33.787644,33.819605,33.879269,33.969742,34.085956,34.222545,34.375885,34.534205,34.688951,34.836021,34.963921,35.072853,35.156738,35.220135,35.264722,35.299469,35.332139,35.375183,35.442254,35.546484
-0.015578,45.387388,44.239366,42.858398,41.225517,39.328173,37.165471,34.747133,32.091691,29.232579,26.226242,23.124980,19.999194,16.934797,14.002560,11.280155,8.842730,6.747593,5.031509,3.724516,2.825516,2.319816,2.172778,2.335322,2.747439,3.342329,4.054660,4.820355,5.584643,6.305336,6.948728,7.498739,7.947241,8.299680,8.566967,8.767277,8.919784,9.044670,9.159000,9.277391,9.409468,9.560743,9.732738,9.922354,10.125846,10.337439,10.551684,10.762292,10.959199,11.139188,11.308146,11.468108,11.619289,11.762746,11.900262,12.033557,12.164012,12.293686,12.423289,12.553523,12.684467,12.815661,12.946833,13.077161,13.206366,13.333880,13.459880,13.584521,13.707505,13.829135,13.949572,14.069007,14.187555,14.305025,14.421747,14.537472,14.652275,14.766164,14.878445,14.989235,15.098787,15.207615,15.316020,15.424652,15.533873,15.643885,15.754886,15.867003,15.979915,16.093405,16.207097,16.320181,16.432002,16.541966,16.649617,16.754759,16.857373,16.957594,17.055842,17.153072,17.249848,17.347008,17.445181,17.545351,17.647666,17.752443,17.859742,17.968929,18.079779,18.191693,18.303463,18.414684,18.524780,18.633474,18.740832,18.847156,18.953115,19.058700,19.165226,19.272755,19.382563,19.494425,19.609420,19.727049,19.848151,19.972675,20.099691,20.229761,20.361946,20.497310,20.634709,20.774411,20.916630,21.062861,21.212048,21.366561,21.525329,21.690740,21.861712,22.041456,22.229186,22.425581,22.633307,22.851258,23.080579,23.321357,23.576225,23.846007,24.129523,24.427161,24.742064,25.072268,25.418568,25.779661,26.155963,26.543267,26.940230,27.347733,27.761717,28.182159,28.604263,29.026134,29.442874,29.850619,30.244593,30.619986,30.971426,31.293861,31.582339,31.833063,32.042106,32.208552,32.331359,32.412428,32.456967,32.471283,32.462077,32.439362,32.413354,32.393121,32.390192,32.410085,32.460573,32.544907,32.659914,32.807080,32.975595,33.163169,33.354799,33.546867,33.724675,33.886561,34.021573,34.132977,34.217666,34.281462,34.331614,34.379104,34.434547,34.513295,34.630026
