LAMMPS data file via write_data, version 29 Aug 2024, timestep = 5000, units = real

192 atoms
3 atom types

0 12.72 xlo xhi
0 12.72 ylo yhi
0 12.72 zlo zhi

Masses

1 12.011 # C
2 15.9994 # O
3 2.014101777 # H

Atoms # atomic

57 2 2.6269717084094304 2.943896730483584 1.9487643917740722 0 0 0
173 3 1.7100645251887736 2.7625441057517683 2.252097691728636 0 0 0
174 3 2.9348782366663806 3.6201558069393607 2.5755045784008535 0 0 0
10 2 0.5218918337518702 2.021263652462952 3.722257885580174 1 0 0
79 3 0.815978763588059 1.121995097984954 3.367544512490384 1 0 0
132 3 3.121197780978812 3.838483005359314 0.18583420084586463 0 1 0
75 3 6.127444437256108 1.7632367415993773 2.9912288561683495 0 1 1
8 2 5.867017095161362 2.622241646843893 3.354175179262878 0 1 1
110 3 8.210109207242757 0.37183361432203194 2.640486157635417 0 1 0
25 2 7.2502533848545365 0.19694555741062433 2.7050989852978886 0 1 0
182 3 11.373685207005899 2.2446626067192224 3.150001357865032 -1 0 0
61 2 10.419465200959637 1.9986352468736994 3.1146865594189563 -1 0 0
181 3 10.434204629895921 1.4761366921002697 2.2872716988439614 -1 0 0
41 2 9.862058176356019 0.4153321200752545 0.9599910338965547 0 0 1
141 3 9.129435335185091 0.9672829737574319 0.6682804934128306 0 0 1
142 3 10.360835177217547 0.025099071477363143 0.1605732510621193 0 0 1
70 3 9.659194542568734 3.737891939331154 3.8062086889232187 0 0 0
60 2 3.695100351992944 6.5111707562260435 3.082401727344753 0 0 1
180 3 3.163454274218992 6.765262217878613 2.289079636095659 0 0 1
44 2 1.7194997576105762 7.9848594449010895 1.0021272193624096 0 0 0
148 3 1.7080431930714273 7.486680909870072 0.1857265910010501 0 0 0
82 3 6.257056763118234 5.488362717853175 1.2752390571261316 1 -1 0
179 3 4.5117032000063455 6.039778018066842 2.763676649383025 0 0 1
81 3 6.117896649326599 4.265148658191345 2.1570618041539715 1 -1 0
11 2 5.876798396039948 5.236195594441609 2.1224054527041294 1 -1 0
99 3 7.007999278044606 5.6873858792055705 3.6687231097435107 0 0 0
27 2 7.889660223289577 6.880705754953847 0.5213703651568229 0 0 0
114 3 8.142073655846024 7.421133516423626 1.3132481273623564 0 0 0
113 3 8.46193607401834 6.1223112194176235 0.6261901529421048 0 0 0
104 3 5.013962614816984 8.091422637414219 0.5259766619096714 0 0 1
